loan_id,principal_loan_amount,request_date,interest_rate,loan_channel,is_approved,is_default,customer_monthly_income,customer_age,customer_gender,customer_credit_score,customer_zip_code
70280c1b-4339-4949-ba69-ad2a6cb6b782,8880,2023-03-06,9,WEB,TRUE,,6100,30,Male,3,10007
8a550559-9749-491b-b6aa-7188bc0a488f,13720,2023-05-10,10,MOBILE_APP,TRUE,,5150,39,Female,3,10004
5644d27e-e05e-4a40-bef3-64187892338f,2090,2023-02-16,7.5,AGENT,TRUE,,6030,43,Female,3,10003
9d8d17ac-8af9-4936-ba5d-8d5ed5e0cfab,6820,2023-02-26,8.5,MOBILE_APP,,,2150,54,Male,0,10004
4586ad7a-2231-419b-b8e3-ba03b929b56e,13770,2023-04-13,10,AFFILIATE,,,5810,28,Female,2,10007
d3d6aacd-d1f8-4ea3-b590-8efb0e167aba,9730,2023-02-22,9,MOBILE_APP,,,4780,42,Male,2,10008
e6d4678d-a124-4300-906a-07be9037a3ed,10840,2023-04-21,9.5,DIRECT_SELLING,,,3510,49,Male,0,10009
b1dd0662-399d-40c8-aaae-b2f49aee387d,4240,2023-05-27,8,DIRECT_SELLING,,,3090,35,Female,1,10004
c4406d64-1756-4c48-8891-3b9a557642b7,9860,2023-01-10,9,WEB,TRUE,TRUE,5520,44,M,4,10002
b39add7b-e3a2-4786-9b47-14890b7f1ee4,1390,2023-03-17,7.5,WEB,,,2830,35,Female,2,10005
b16daa15-393a-446c-b7e7-7bdc82c49fb5,3970,2023-04-29,8,WEB,TRUE,,2190,47,Female,5,10004
94e38e31-cd32-4494-983e-5d0b711d085d,14470,2023-01-13,10,DIRECT_SELLING,TRUE,,5720,22,Female,4,10005
0fd7256e-39f4-48de-826e-d05931288af4,8570,2023-01-17,9,DIRECT_SELLING,,,3470,39,Female,0,10004
aef73411-27f8-43cb-a2fe-f7a14a0cb853,8200,2023-06-24,9,WEB,,,2790,56,Male,1,10006
1ce47f27-3b02-421f-8d5e-7b474c46448d,2100,2023-04-23,7.5,DIRECT_SELLING,TRUE,,5470,54,Female,3,10005
b4d5e774-fbd9-471b-85ae-9dd8f2fb0fc0,3240,2023-04-17,8,MOBILE_APP,TRUE,,2110,35,Male,5,10004
4c7bf105-0d0d-40fd-a6d1-6b4314c597ff,9630,2023-01-06,9,website_revamped,,,4330,30,M,0,10004
8e135578-1ada-446e-b681-6c5370d82f1f,4210,2023-03-20,8,WEB,TRUE,,5080,42,Female,3,10006
9d8b4565-5ef5-4a65-8185-453fd61c8faa,5540,2023-03-09,8.5,MOBILE_APP,,,6090,53,Male,3,10004
80c8fc89-d8b8-4b55-b6db-8165f13d6a4c,1160,2023-01-06,7.5,DIRECT_SELLING,TRUE,,5470,45,F,3,10009
db8754c0-307c-44a1-859a-d83d7d8a3dcc,8020,2023-02-20,9,AGENT,,,4240,46,Male,3,10004
33fefab6-6c3c-4be7-8c44-fd73f63df442,14040,2023-02-05,10,AFFILIATE,TRUE,,5060,59,Female,4,10004
7453a8fd-848c-4cb2-9b42-1aaeafad4b18,5860,2023-04-03,8.5,AGENT,TRUE,,5570,42,Female,3,10007
499418d6-c37c-457f-b563-6a44ea1d5936,2680,2023-04-21,8,DIRECT_SELLING,,,4540,50,Female,0,10007
8e1e17c1-3ddd-4bdc-a71f-fb99fb8a3308,4170,2023-06-26,8,MOBILE_APP,TRUE,,4200,28,Female,4,10006
aa8f5542-89f6-4dab-9c76-b3298f895c6c,7930,2023-05-31,9,DIRECT_SELLING,,,2380,23,Male,3,10003
d3d2cfa3-1783-496c-a020-54b426d5b116,5000,2023-05-11,8,DIRECT_SELLING,,,2500,59,Male,0,10003
79e8784e-1d07-4057-a851-b2beb2ec267d,4190,2023-04-08,8,WEB,TRUE,,5880,35,Female,4,10004
34dfc781-8f16-43d8-b297-fff1a545de76,12040,2023-06-27,9.5,AGENT,,,2780,48,Male,1,10007
